Task,ConNum,ConName,Tom,Joke wrong,Joke186,Joke80
EMOTION,1,FACES,1.45249,0.416926709,1.740606335,1.193343575
EMOTION,2,SHAPES,1.312068,0.512532277,1.590528091,1.056667163
EMOTION,3,FACES-SHAPES,1.146567,0.540773757,1.664412796,1.143677262
EMOTION,4,neg_FACES,0.705733,0.397638706,1.116694628,0.684407391
EMOTION,5,neg_SHAPES,0.721518,0.4762228,1.183378005,0.722207089
EMOTION,6,SHAPES-FACES,0.559162,0.670699553,0.675476381,0.445263925
GAMBLING,1,PUNISH,1.447305,0.716216806,1.670277962,1.167952514
GAMBLING,2,REWARD,1.544722,0.797928753,1.763713921,1.251701981
GAMBLING,3,PUNISH-REWARD,0.210678,0.155048103,0.245544649,0.184583626
GAMBLING,4,neg_PUNISH,1.006312,0.826388986,1.289753248,0.923716997
GAMBLING,5,neg_REWARD,0.95309,0.862942363,1.259756066,0.861899783
GAMBLING,6,REWARD-PUNISH,0.49897,0.578909069,0.776474845,0.545250603
LANGUAGE,1,MATH,0.795876,0.290225613,1.214429531,0.810193695
LANGUAGE,2,STORY,0.925407,0.290598249,1.351488934,0.919577531
LANGUAGE,3,MATH-STORY,1.457489,0.861198404,1.691491961,1.173900539
LANGUAGE,4,STORY-MATH,1.175209,0.618710051,1.555484834,1.05166044
LANGUAGE,5,neg_MATH,1.279223,0.392664225,2.191193275,1.4134384
LANGUAGE,6,neg_STORY,1.468234,0.460947267,2.374785166,1.551388766
MOTOR,1,CUE,1.584088,0.534322647,1.754502667,1.19895137
MOTOR,2,LF,1.134168,0.45910107,1.638318696,1.09279362
MOTOR,3,LH,0.856192,0.496120924,1.586286577,1.025181639
MOTOR,4,RF,1.076586,0.495007737,1.695600126,1.115342227
MOTOR,5,RH,1.031827,0.503654094,1.652083123,1.091400516
MOTOR,6,T,1.285935,0.392898759,1.834820159,1.18356503
MOTOR,7,AVG,1.098973,0.657752161,1.399952028,0.952250828
MOTOR,8,CUE-AVG,1.607477,0.533737301,1.746425336,1.209927678
MOTOR,9,LF-AVG,0.896361,0.497247959,1.727487012,1.156350556
MOTOR,10,LH-AVG,0.655323,0.452862547,1.564192267,1.02301707
MOTOR,11,RF-AVG,0.774424,0.519257827,1.803556419,1.196495616
MOTOR,12,RH-AVG,0.770232,0.475115334,1.620310425,1.079046673
MOTOR,13,T-AVG,1.187951,0.34986475,1.872151115,1.235288036
MOTOR,14,neg_CUE,0.651008,0.236080233,0.977054581,0.634090857
MOTOR,15,neg_LF,0.617081,0.274710273,1.240353314,0.839249429
MOTOR,16,neg_LH,0.865997,0.493946903,1.276445178,0.898360072
MOTOR,17,neg_RF,0.665894,0.333896512,1.274470988,0.853762874
MOTOR,18,neg_RH,0.675021,0.367922458,1.278187819,0.875783694
MOTOR,19,neg_T,0.8265,0.258878819,1.19086398,0.798004352
MOTOR,20,neg_AVG,0.776396,0.39075696,1.338056497,0.920671211
MOTOR,21,AVG-CUE,0.607901,0.242797324,0.901546806,0.564241971
MOTOR,22,AVG-LF,0.651151,0.595867946,1.150102714,0.797611767
MOTOR,23,AVG-LH,1.073831,0.655284476,1.592502246,1.059171501
MOTOR,24,AVG-RF,0.855702,0.712808642,1.38528477,0.893789347
MOTOR,25,AVG-RH,0.888011,0.630874113,1.428821207,0.952473845
MOTOR,26,AVG-T,0.767393,0.33812477,1.038742312,0.682737461
RELATIONAL,1,MATCH,1.760641,,,
RELATIONAL,2,REL,1.639808,,,
RELATIONAL,3,MATCH-REL,0.526779,,,
RELATIONAL,4,REL-MATCH,0.506219,,,
